subgraph,count
<http://www.wikidata.org/entity/Q189004>,105345
<http://www.wikidata.org/entity/Q96739634>,2222
<http://www.wikidata.org/entity/Q191067>,50669
<http://www.wikidata.org/entity/Q207524>,74765
<http://www.wikidata.org/entity/Q1195098>,27860
<http://www.wikidata.org/entity/Q783794>,277282
<http://www.wikidata.org/entity/Q192287>,136298
<http://www.wikidata.org/entity/Q1002697>,51253
<http://www.wikidata.org/entity/Q178561>,63335
<http://www.wikidata.org/entity/Q575759>,103248
<http://www.wikidata.org/entity/Q67015940>,19704
<http://www.wikidata.org/entity/Q486972>,743935
