subgraph,total_query_time_(ms),total_query_time_(hr),percent
<http://www.wikidata.org/entity/Q104093746>,23619905,6.561,0.043
<http://www.wikidata.org/entity/Q2467461>,18553374,5.154,0.034
<http://www.wikidata.org/entity/Q1520033>,158267308,43.963,0.286
<http://www.wikidata.org/entity/Q634099>,38651561,10.737,0.07
<http://www.wikidata.org/entity/Q23397>,150908778,41.919,0.273
<http://www.wikidata.org/entity/Q820477>,60911680,16.92,0.11
<http://www.wikidata.org/entity/Q19855165>,24896598,6.916,0.045
<http://www.wikidata.org/entity/Q34763>,81782059,22.717,0.148
<http://www.wikidata.org/entity/Q12280>,58575474,16.271,0.106
<http://www.wikidata.org/entity/Q1134686>,51593063,14.331,0.093
<http://www.wikidata.org/entity/Q3918>,240860278,66.906,0.436
<http://www.wikidata.org/entity/Q51591359>,98280,0.027,0.0
<http://www.wikidata.org/entity/Q2231510>,10772131,2.992,0.019
<http://www.wikidata.org/entity/Q56436498>,67572008,18.77,0.122
<http://www.wikidata.org/entity/Q1577547>,28537457,7.927,0.052
<http://www.wikidata.org/entity/Q420927>,313018,0.087,0.001
<http://www.wikidata.org/entity/Q11424>,5547927400,1541.091,10.042
<http://www.wikidata.org/entity/Q811979>,172922693,48.034,0.313
<http://www.wikidata.org/entity/Q1497375>,59100525,16.417,0.107
<http://www.wikidata.org/entity/Q17524420>,25160564,6.989,0.046
<http://www.wikidata.org/entity/Q2065736>,70716100,19.643,0.128
<http://www.wikidata.org/entity/Q473972>,185611734,51.559,0.336
<http://www.wikidata.org/entity/Q93184>,6360471,1.767,0.012
<http://www.wikidata.org/entity/Q13433827>,10968321,3.047,0.02
<http://www.wikidata.org/entity/Q23413>,81367806,22.602,0.147
<http://www.wikidata.org/entity/Q43229>,2159407096,599.835,3.908
<http://www.wikidata.org/entity/Q2996394>,13930369,3.87,0.025
<http://www.wikidata.org/entity/Q1505023>,461049,0.128,0.001
<http://www.wikidata.org/entity/Q189004>,51953035,14.431,0.094
<http://www.wikidata.org/entity/Q96739634>,183563,0.051,0.0
<http://www.wikidata.org/entity/Q191067>,10461947,2.906,0.019
<http://www.wikidata.org/entity/Q1195098>,29808417,8.28,0.054
<http://www.wikidata.org/entity/Q207524>,33389011,9.275,0.06
<http://www.wikidata.org/entity/Q783794>,117658086,32.683,0.213
<http://www.wikidata.org/entity/Q192287>,70790947,19.664,0.128
<http://www.wikidata.org/entity/Q1002697>,32935432,9.149,0.06
<http://www.wikidata.org/entity/Q178561>,31230859,8.675,0.057
<http://www.wikidata.org/entity/Q575759>,44523948,12.368,0.081
<http://www.wikidata.org/entity/Q67015940>,18638058,5.177,0.034
<http://www.wikidata.org/entity/Q486972>,2517584782,699.329,4.557
